date,fremont_bridge,temperature_2m,precipitation,wind_speed_10m
2016-03-20,541.0,9.883333333333333,3.4000000000000004,7.083333333333333
2016-03-21,2048.0,8.875,6.4,11.795833333333334
2016-03-22,2611.0,7.854166666666667,3.2,11.641666666666666
2016-03-23,2336.0,7.891666666666667,5.2,15.116666666666667
2016-03-24,2669.0,7.441666666666666,13.200000000000001,16.329166666666666
2016-03-25,2691.0,6.708333333333333,6.4,5.454166666666667
2016-03-26,1805.0,7.7250000000000005,0.0,4.158333333333333
2016-03-27,446.0,8.620833333333334,15.6,10.924999999999999
2016-03-28,3111.0,6.079166666666667,2.4,7.2124999999999995
2016-03-29,3926.0,7.8125,0.0,9.0625
2016-03-30,4301.0,9.470833333333333,0.0,7.2749999999999995
2016-03-31,4198.0,11.416666666666666,0.0,5.095833333333333
2016-04-01,3916.0,12.237499999999999,0.0,5.191666666666666
2016-04-02,1968.0,11.883333333333333,0.0,6.745833333333334
2016-04-03,2127.0,11.408333333333333,0.0,5.345833333333334
2016-04-04,2804.0,11.379166666666668,9.2,15.195833333333333
2016-04-05,3544.0,8.3125,5.2,9.175
2016-04-06,4220.0,10.225,0.0,7.895833333333333
2016-04-07,4583.0,13.608333333333334,0.0,10.450000000000001
2016-04-08,3883.0,15.258333333333333,0.0,7.454166666666667
2016-04-09,2347.0,13.120833333333332,0.0,5.983333333333333
2016-04-10,1603.0,10.895833333333334,0.0,8.258333333333333
2016-04-11,3225.0,10.049999999999999,0.0,9.275
2016-04-12,2503.0,9.720833333333333,0.7,12.575000000000001
2016-04-13,2938.0,9.045833333333333,2.8000000000000003,14.854166666666666
2016-04-14,3241.0,9.316666666666666,2.6,7.8875
2016-04-15,2868.0,9.108333333333333,0.0,10.529166666666667
2016-04-16,2281.0,10.520833333333334,0.0,4.7625
2016-04-17,2223.0,13.2125,0.0,6.7250000000000005
2016-04-18,4678.0,16.270833333333332,0.0,6.841666666666666
2016-04-19,4877.0,18.083333333333332,0.0,6.470833333333334
2016-04-20,4786.0,17.645833333333332,0.0,6.491666666666667
2016-04-21,4276.0,17.016666666666666,0.0,10.270833333333334
2016-04-22,2718.0,14.545833333333334,2.6,7.2749999999999995
2016-04-23,1671.0,12.4125,2.4000000000000004,10.816666666666668
2016-04-24,463.0,10.395833333333334,16.8,9.458333333333334
2016-04-25,2929.0,8.325000000000001,2.4,5.2250000000000005
2016-04-26,4118.0,8.945833333333333,0.0,6.154166666666666
2016-04-27,3793.0,10.791666666666666,0.0,6.333333333333333
